date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:51	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Apr%202026%2021:32:51%20GMT	https://web.archive.org/robots.txt		(from )
14:32:52	225739/225739	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202026%2021:32:52%20GMT	https://web.archive.org/web/20250123172035/https://tularosamoto.com/	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035/https_/tularosamoto.com/index.html	(from )
14:32:53	27135/27135	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202026%2008:16:10%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=2N_sDSC0	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web-static.archive.org/_static/js/bundle-playbackffba.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:53	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202026%2008:16:10%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:54	381452/381452	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202026%2008:16:12%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:54	208/208	---M--	302	error ('FOUND')	text/html	date:Thu,%2002%20Apr%202026%2021:32:54%20GMT	https://web.archive.org/web	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:55	154654/154654	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202026%2021:32:55%20GMT	https://web.archive.org/	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/index.html	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:56	10252/10252	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202026%2008:16:10%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=1utQkbB3	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web-static.archive.org/_static/css/banner-styles074f.css	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:56	5649/5649	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202026%2008:16:10%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:56	151/151	---M--	403	error ('Forbidden')	text/html	date:Thu,%2002%20Apr%202026%2021:32:56%20GMT	https://tularosamoto.com/	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/tularosamoto.com/index.html	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:56	232/232	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2002%20Apr%202026%2021:32:57%20GMT	https://web-static.archive.org/_static/	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web-static.archive.org/_static/index.html	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
